number,beeldbank_link,image_link,type,research_and_notes,specific_location,longitude,latitude,number_of_people,children,adults,people_identified,source
112587,https://beeldbankwo2.nl/nl/beelden/detail/67cb1b4e-025a-11e7-904b-d89d6717b464/media/1db6d661-9506-296e-6c0d-c67b7c015f68?mode=detail&view=horizontal&q=112587&rows=1&page=2,https://images.memorix.nl/niod/download/default/1db6d661-9506-296e-6c0d-c67b7c015f68.jpg',photograph,Taken by HKW Van der Woerd,"Groentenwinkel van Maarsen, Amsterdam ",4.903065,52.342886,9,0,9,0,Beeldbank
112588,https://beeldbankwo2.nl/nl/beelden/detail/67cb8480-025a-11e7-904b-d89d6717b464/media/9a1b9d25-e970-1ab3-895e-0a945a75615f?mode=detail&view=horizontal&q=112588&rows=1&page=2,https://images.memorix.nl/niod/download/default/9a1b9d25-e970-1ab3-895e-0a945a75615f.jpg', photograph,"Group of people probably waiting for the supply of food, partly sitting on chairs and stools in front of Maarsen's greengrocer's shop in Uiterwaardestraat 28, On the shop window a sign 'For Jews Forbidden'; nevertheless, a lady with a star of David is among those waiting. The photographer lived at 105 Uiterwaardenstraat. His wife was among those waiting. Presumably the photos were taken to fill a roll of film and also to record the situation. (Amsterdam Resistance Museum)","Groentenwinkel van Maarsen, Amsterdam ",4.903065,52.342886,5,0,5,0,Amsterdam resistance museum
112586,https://beeldbankwo2.nl/nl/beelden/detail/67cabdb6-025a-11e7-904b-d89d6717b464/media/b2aa2281-c1a1-96ac-08f6-c0222dcb0e67?mode=detail&view=horizontal&q=112586&rows=1&page=2,https://images.memorix.nl/niod/download/default/b2aa2281-c1a1-96ac-08f6-c0222dcb0e67.jpg',photograph,"Group of people probably waiting for the supply of food, partly sitting on chairs and stools in front of Maarsen's greengrocer's shop, Uiterwaardenstraat 28 in the Rivierenbuurt in Amsterdam. On the shop window a sign 'For Jews Forbidden'; nevertheless, a lady with a star of David is among those waiting. The photographer lived at 105 Uiterwaardenstraat. His wife was among those waiting. Presumably the photos were taken to fill a roll of film and also to record the situation. (Amsterdam Resistance Museum)","Groentenwinkel van Maarsen, Amsterdam ",4.903065,52.342886,11,0,11,0,?
62302,https://beeldbankwo2.nl/nl/beelden/detail/108b6fbe-025a-11e7-904b-d89d6717b464/media/489a7222-6dd7-af94-f18f-61be7637ce23?mode=detail&view=horizontal&q=62302&rows=1&page=1,https://images.memorix.nl/niod/download/default/489a7222-6dd7-af94-f18f-61be7637ce23.jpg',portrait,"Nazi labour camp, Rijkswerkkamp Geesbrug, Drenthe
They were later transported to camp westerbok on October 3, 1942 by train","Camp Geesbrug, Nieuweroord",6.588828,52.727775,28,0,28,0,"https://joodsewerkkampen.nl/overzicht-joodse-werkkampen/geesbrug-nieuweroord 
https://www.oorlogsbronnen.nl/bron/https%3A%2F%2Fniod.on.worldcat.org%2Foclc%2Focn244723302
https://www.oorlogsbronnen.nl/thema/Joods%20werkkamp%20Geesbrug, ""Kamer 8 RWK Geesbrug Nieuweroord"" "
96943,https://beeldbankwo2.nl/nl/beelden/detail/4e03805c-025a-11e7-904b-d89d6717b464/media/33a812fd-0102-988e-99a1-453b5bcec255?mode=detail&view=horizontal&q=96943&rows=1&page=1,https://images.memorix.nl/niod/download/default/33a812fd-0102-988e-99a1-453b5bcec255.jpg',portrait,Wedding portrait with Sonja Roos and Edie van Biene in the Zoutmanstraat in The Hague,Den Haag ,4.293387,52.077753,6,0,6,2,https://www.oorlogsbronnen.nl/bron/https%3A%2F%2Fbeeldbankwo2.nl%2Fnl%2Fbeelden%2Fdetail%2F4dfabd3c-025a-11e7-904b-d89d6717b464%2Fmedia%2Fd2f36ea8-e9ad-c999-995f-adaf64cfa10b
207711,https://beeldbankwo2.nl/nl/beelden/detail/f55897fc-025a-11e7-904b-d89d6717b464/media/0212a06a-a842-b1e9-f7c7-660fd52e4f0d?mode=detail&view=horizontal&q=207711&rows=1&page=1,https://images.memorix.nl/niod/thumb/mediabank-horizontal/0212a06a-a842-b1e9-f7c7-660fd52e4f0d.jpg',snapshot,"Men dig for coal at Weesperpoort, Amsterdam. Photographer is Emmy Andriesse (1914-1953). Spring 1945. See 'sources' for more pictures with identified persons at the same location by same photographer ","Weesperpoort, Amsterdam ",4.908511,52.360635,3,0,3,0," https://digitalcollections.universiteitleiden.nl/view/item/1666573?solr_nav%5Bid%5D=fa9cd9d7267f4928fd12&solr_nav%5Bpage%5D=5353&solr_nav%5Boffset%5D=15

https://digitalcollections.universiteitleiden.nl/search/kolengraven?type=edismax&cp=collection%3Aubl_photos"
207967,https://beeldbankwo2.nl/nl/beelden/detail/f5d66614-025a-11e7-904b-d89d6717b464/media/aadf1da3-89f9-adb0-97ca-0b7f70f8b2a5?mode=detail&view=horizontal&q=207967&rows=1&page=11,https://images.memorix.nl/niod/thumb/mediabank-horizontal/aadf1da3-89f9-adb0-97ca-0b7f70f8b2a5.jpg',photograph,"Photographer is Emmy Andriesse (1914-1953). Spring 1945.

 This photo is part of the collection of Emmy Andriesse (1914-1953), one of the most renowned photographers in the Netherlands. ",Amsterdam ,4.756400,52.836690,0,0,0,0,
207970,https://beeldbankwo2.nl/nl/beelden/detail/f5d79d68-025a-11e7-904b-d89d6717b464/media/51cf68fa-cdfb-b14b-3ba4-1ed231a020e8?mode=detail&view=horizontal&q=207970&rows=1&page=11,https://images.memorix.nl/niod/thumb/mediabank-horizontal/51cf68fa-cdfb-b14b-3ba4-1ed231a020e8.jpg',portrait,"Photographer is Emmy Andriesse (1914-1953). Spring 1945.

 This photo is part of the collection of Emmy Andriesse (1914-1953), one of the most renowned photographers in the Netherlands. ",Amsterdam ,4.756340,52.836690,1,0,1,0,
114284,https://beeldbankwo2.nl/nl/beelden/detail/6ad3f95a-025a-11e7-904b-d89d6717b464/media/a1e828ce-d2d8-3943-1825-f5e712853484?mode=detail&view=horizontal&q=114284&rows=1&page=2,https://images.memorix.nl/niod/download/default/a1e828ce-d2d8-3943-1825-f5e712853484.jpg',portrait,"Café Krijger and De Wit. Performing artists, most likely in 't Zand labor camp for mixed-married Jews.
Apr 1944 - Sept 1944 For six months there was a work camp for mixed-married Jews in 't Zand in North Holland. Amsterdam resistance musuem.

A cropped picture","Camp 't Zand, 't Zand",4.733939,52.822295,5,0,5,0,"https://www.oorlogsbronnen.nl/thema/Kamp%20't%20Zand
https://www.joodsamsterdam.nl/werkkamp-t-zand/
https://www.oorlogsbronnen.nl/thema/Kamp%20't%20Zand?Foto%27s=1"
114295,https://beeldbankwo2.nl/nl/beelden/detail/6ad86ba2-025a-11e7-904b-d89d6717b464/media/07055f22-fbfe-6a47-47e0-becce562c566?mode=detail&view=horizontal&q=114295&rows=1&page=1,https://images.memorix.nl/niod/download/default/07055f22-fbfe-6a47-47e0-becce562c566.jpg',portrait,"Café Krijger and De Wit. Performing artists, most likely in 't Zand labor camp for mixed-married Jews.
Apr 1944 - Sept 1944 For six months there was a work camp for mixed-married Jews in 't Zand in North Holland. Amsterdam resistance musuem.","Camp 't Zand, 't Zand",4.733934,52.822295,2,0,2,0,"https://www.oorlogsbronnen.nl/thema/Kamp%20't%20Zand
https://www.joodsamsterdam.nl/werkkamp-t-zand/
"
114283,https://beeldbankwo2.nl/nl/beelden/detail/6ad39802-025a-11e7-904b-d89d6717b464/media/0c1f77b5-6aea-7371-5369-b8d5f6e1bc43?mode=detail&view=horizontal&q=114283&rows=1&page=22,https://images.memorix.nl/niod/download/default/0c1f77b5-6aea-7371-5369-b8d5f6e1bc43.jpg',portrait,"Café Krijger and De Wit. ""Performing artists, most likely in 't Zand labor camp for mixed-married Jews.
Apr 1944 - Sept 1944 For six months there was a work camp for mixed-married Jews in 't Zand in North Holland. Amsterdam resistance musuem."" Same woman in 114284 ","Camp 't Zand, 't Zand",4.733940,52.822295,2,0,2,0,"https://www.oorlogsbronnen.nl/thema/Kamp%20't%20Zand
https://www.joodsamsterdam.nl/werkkamp-t-zand/
"
114287,https://beeldbankwo2.nl/nl/beelden/detail/6ad543e6-025a-11e7-904b-d89d6717b464/media/165dcb24-9882-8f78-8e44-62d620f64f4b?mode=detail&view=horizontal&q=114287&rows=1&page=11,https://images.memorix.nl/niod/download/default/165dcb24-9882-8f78-8e44-62d620f64f4b.jpg',portrait,"Café Krijger and De Wit. ""Performing artists, most likely in 't Zand labor camp for mixed-married Jews.
Apr 1944 - Sept 1944 For six months there was a work camp for mixed-married Jews in 't Zand in North Holland. Amsterdam resistance musuem."" Also in 114282.","Camp 't Zand, 't Zand",4.733940,52.822295,2,0,2,0,"https://www.oorlogsbronnen.nl/thema/Kamp%20't%20Zand
https://www.joodsamsterdam.nl/werkkamp-t-zand/
"
114282,https://beeldbankwo2.nl/nl/beelden/detail/6ad32958-025a-11e7-904b-d89d6717b464/media/a4dadb45-79ba-2e5e-220c-2c01f135a061?mode=detail&view=horizontal&q=114282&rows=1&page=2,https://images.memorix.nl/niod/download/default/a4dadb45-79ba-2e5e-220c-2c01f135a061.jpg',portrait,"Café Krijger and De Wit. ""Performing artists, most likely in 't Zand labor camp for mixed-married Jews. 
Apr 1944 - Sept 1944 For six months there was a work camp for mixed-married Jews in 't Zand in North Holland. Amsterdam resistance musuem."" Also in 114287","Camp 't Zand, 't Zand",4.733940,52.822295,2,0,2,0,"https://www.oorlogsbronnen.nl/thema/Kamp%20't%20Zand
https://www.joodsamsterdam.nl/werkkamp-t-zand/
"
96950,https://beeldbankwo2.nl/nl/beelden/detail/4e077ca2-025a-11e7-904b-d89d6717b464/media/b0146139-d39e-97e8-ebc7-025936f699f4?mode=detail&view=horizontal&q=96950&rows=1&page=1,https://images.memorix.nl/niod/download/default/b0146139-d39e-97e8-ebc7-025936f699f4.jpg',photograph,"Nieuwezijds Voorburgwal, Amsterdam. Summer 1942. SD agents check the identity card of Jewish citizens on the Nieuwezijdse Voorburgwal. At the beginning of January 1941, the compulsory registration of Jews with the population register was proclaimed. Proof of registration should always be carried with you. In order to determine whether someone was Jewish, it was decided in the summer of 1941 that a large J had to be placed in two places on the identity card of so-called 'Volljuden'. From that moment on, Jews were easy to distinguish from non-Jews at street checks. Time: summer 1942

related: on the same street Dr. Tina Strobos hid more tha 100 jews in her attic. 
","Nieuwezijds Voorburgwal, Amsterdam ",4.890648,52.373459,8,3,5,0,"https://www.nytimes.com/2012/03/01/nyregion/dr-tina-strobos-who-harbored-jews-from-the-nazis-dies-at-91.html
https://www.oorlogsbronnen.nl/bronnen?term=Nieuwezijds+Voorburgwal"
213457,https://beeldbankwo2.nl/nl/beelden/detail/ff1d2334-025a-11e7-904b-d89d6717b464/media/3c254974-a7cf-dcf3-795e-20bcedbba7b1?mode=detail&view=horizontal&q=213457&rows=1&page=11,https://images.memorix.nl/niod/thumb/mediabank-horizontal/3c254974-a7cf-dcf3-795e-20bcedbba7b1.jpg', photograph,"Waterlooplein, Amsterdam. Market [presumably in Amsterdam] which is exclusively intended for Jews. The entire market is surrounded by a fence. On the gate a sign with the inscription: 'Entrance for Jews only'. c. 1942","Waterlooplein, Amsterdam ",4.902835,52.36785,30+,unknown,30+,0,"https://www.parool.nl/nieuws/deze-plekken-in-amsterdam-herinneren-aan-de-jodenvervolging~b98b6b3e/
https://www.joodsmonument.nl/nl/page/671/joodse-markt--en-straathandelaren-in-amsterdam"
119317,https://beeldbankwo2.nl/nl/beelden/detail/74071584-025a-11e7-904b-d89d6717b464/media/fb52efe5-4225-43b4-3b40-8803a1403231?mode=detail&view=horizontal&q=119317&rows=1&page=11,https://images.memorix.nl/niod/thumb/mediabank-horizontal/fb52efe5-4225-43b4-3b40-8803a1403231.jpg',portrait,"Two Dutch Jews are deported with the bare necessities. De Beek, Ermelo, the Netherlands",Amsterdam ,4.897072,52.377958,2,1,1,0,https://beeldbankwo2.nl/nl/beelden/detail/4db6f354-025a-11e7-904b-d89d6717b464/media/f4cb2e7d-0c06-704a-2086-84d7e18f4257?mode=detail&view=horizontal&q=96768&rows=1&page=1
102108,https://beeldbankwo2.nl/nl/beelden/detail/56309562-025a-11e7-904b-d89d6717b464/media/01bde1f0-aa6a-b05c-dec9-3324cdf8b47c?mode=detail&view=horizontal&q=102108&rows=1&page=11,https://images.memorix.nl/niod/thumb/mediabank-horizontal/01bde1f0-aa6a-b05c-dec9-3324cdf8b47c.jpg',photograph,"Photos 'Jewish Council', collection of Johan de Haas. Stock of clothing for aid to Jews departing to camps. The Clothes Supply Department at Oude Schans 72 - 76, a subsection of the Assistance to Departures. ","Clothes Supply Department, The Jewish Council, Amsterdam ",4.902425,52.370947,6,0,6,0,"https://archief.ntr.nl/deoorlog/page/mappen/781400/Hulp+aan+Vertrekkenden.html
https://www.joodsamsterdam.nl/de-joodse-raad/
https://www.archieven.nl/nl/zoeken?mivast=0&mizig=210&miadt=298&miaet=1&micode=182&minr=1514447&miview=inv2"
112364,https://beeldbankwo2.nl/nl/beelden/detail/67613c92-025a-11e7-904b-d89d6717b464/media/9aadff09-6c6d-857c-32f6-b2d685210197?mode=detail&view=horizontal&q=112364&rows=1&page=2,https://images.memorix.nl/niod/download/default/9aadff09-6c6d-857c-32f6-b2d685210197.jpg',photograph,"Group of packed and bagged Jews on the corner of Lekstraat in Amsterdam's Rivierenbuurt. Photo taken from a window across the street. Two teacups are on the windowsill in the foreground. Sunday 20 June 1943. See links related to Lekstraat round-ups and 20 June 1943. That day, about 5,500 Jews are arrested.
","Lekstraat, Amsterdam ",4.904963,52.345067,30+,unknown,unknown,0,"http://www.richarddenooy.com/blogs/the-restless-hatter-lekstraat-12-ground-floor-amsterdam

http://www.richarddenooy.com/blogs/overlooking-the-steel-delta-lekstraat-3-1st-floor

http://geheugenvanplanzuid.nl/archief/tijdtijn/razzia's.htm

https://threadreaderapp.com/thread/1155806121791238144.html?refreshed=1565270623"
96729,https://beeldbankwo2.nl/nl/beelden/detail/4da5c674-025a-11e7-904b-d89d6717b464/media/236ba6e4-665a-6c3c-811a-758eab66e74e?mode=detail&view=horizontal&q=96729&rows=1&page=11,https://images.memorix.nl/niod/download/default/236ba6e4-665a-6c3c-811a-758eab66e74e.jpg',photograph,"Jews at the sports complex on Olympiaplein in Amsterdam awaiting deportation to Westerbork transit camp, June 20, 1943.That day, about 5,500 Jews are arrested.","Sportscomplex Olympiaplein, Amsterdam ",4.865280,52.348578,11,0,11,0,"https://www.joodsmonument.nl/en/page/559137/round-up-olympiaplein-20-june-1943

https://twitter.com/piecejake/status/1406585511687471104

https://www.annefrank.org/en/timeline/113/last-raids-in-amsterdam-17000-jews-arrested/"
96730,https://beeldbankwo2.nl/nl/beelden/detail/4da62132-025a-11e7-904b-d89d6717b464/media/a31d133c-4177-4e56-2813-0a8bae87e03a?mode=detail&view=horizontal&q=96730&rows=1&page=1,https://images.memorix.nl/niod/download/default/a31d133c-4177-4e56-2813-0a8bae87e03a.jpg', photograph,"Jews at the sports complex on Olympiaplein in Amsterdam awaiting deportation to Westerbork transit camp, June 20, 1943. That day, about 5,500 Jews are arrested.
","Sportscomplex Olympiaplein, Amsterdam ",4.865280,52.348577,21,1,20,0,
96778,https://beeldbankwo2.nl/nl/beelden/detail/4dbb3cde-025a-11e7-904b-d89d6717b464/media/ae63061e-d9aa-e7f8-ba56-2261a484812a?mode=detail&view=horizontal&q=96778&rows=1&page=1,https://images.memorix.nl/niod/download/default/ae63061e-d9aa-e7f8-ba56-2261a484812a.jpg',photograph,"Amsterdam, Polderweg. May 25, 1943. 500 Jews respond to the German appeal ('Convocation') and report to leave for camp Westerbork. They wait for hours for the special train that will transport them from Muiderpoort Station to Westerbork. Of the 7,000 Jews who had to report to the Polderweg that day for deportation to Westerbork, only 500 appeared that day, much to the irritation of the Germans. Manufacturer: Bart de Kok / Archive Storm SS
","Polderweg, Amsterdam ",4.930700,52.360011,13,0,13,0,https://beeldbankwo2.nl/nl/beelden/detail/4dbb3cde-025a-11e7-904b-d89d6717b464/media/ae63061e-d9aa-e7f8-ba56-2261a484812a?mode=detail&view=horizontal&q=96778&rows=1&page=1
96802,https://beeldbankwo2.nl/nl/beelden/detail/4dc57b5e-025a-11e7-904b-d89d6717b464/media/c2f7d1e0-c815-cad4-08a1-6ddd830e3469?mode=detail&view=horizontal&q=96802&rows=1&page=1,https://images.memorix.nl/niod/download/default/c2f7d1e0-c815-cad4-08a1-6ddd830e3469.jpg', photograph,"Jews arrive at Daniël Willinkplein (later Victorieplein) awaiting deportation to camp Westerbork. Amsterdam, June 20, 1943. (Secretly taken photo.)
","Victorieplein, Amsterdam ",4.903638,52.346167,30+,0,30+,0,https://www.theholocaustexplained.org/rudi-life-before-the-war/rudi-and-his-familys-deportation-to-westerbork/
96776,https://beeldbankwo2.nl/nl/beelden/detail/4dba751a-025a-11e7-904b-d89d6717b464/media/65e3c6bc-8830-e0c0-5db9-4db48b48dae5?mode=detail&view=horizontal&q=96776&rows=1&page=1,https://images.memorix.nl/niod/download/default/65e3c6bc-8830-e0c0-5db9-4db48b48dae5.jpg',portrait,"Amsterdam, Polderweg. May 25, 1943. 500 Jews respond to the German appeal ('Convocation') and report to leave for camp Westerbork. They wait for hours for the special train that will transport them from Muiderpoort Station to Westerbork. Of the 7,000 Jews who had to report to the Polderweg that day for deportation to Westerbork, only 500 appeared that day, much to the irritation of the Germans. Bart de Kok / Archive Storm SS.
.","Polderweg, Amsterdam ",4.930700,52.360011,30+,0,30+,0,"https://beeldbankwo2.nl/nl/beelden/detail/4dbb3cde-025a-11e7-904b-d89d6717b464/media/ae63061e-d9aa-e7f8-ba56-2261a484812a?mode=detail&view=horizontal&q=96778&rows=1&page=1

https://fcit.usf.edu/holocaust/gallery2/45127.htm

https://www.oorlogsbronnen.nl/artikel/nsb-fotografen-leggen-jodenvervolging-vast"
96801,https://beeldbankwo2.nl/nl/beelden/detail/4dc4f288-025a-11e7-904b-d89d6717b464/media/46731582-33e2-0189-f03c-5c782b6a7706?mode=detail&view=horizontal&q=96801&rows=1&page=1,https://images.memorix.nl/niod/download/default/46731582-33e2-0189-f03c-5c782b6a7706.jpg',portrait,"Amsterdam, Polderweg. May 25, 1943. 500 Jews respond to the German appeal ('Convocation') and report to leave for camp Westerbork. They wait for hours for the special train that will transport them from Muiderpoort Station to Westerbork. Of the 7,000 Jews who had to report to the Polderweg that day for deportation to Westerbork, only 500 appeared that day, much to the irritation of the Germans. Bart de Kok / Archive Storm SS.
.","Polderweg, Amsterdam ",4.930700,52.360012,30+,0,30+,0,"https://fcit.usf.edu/holocaust/gallery2/45127.htm

https://www.oorlogsbronnen.nl/artikel/nsb-fotografen-leggen-jodenvervolging-vast"
96721,https://beeldbankwo2.nl/nl/beelden/detail/4da274e2-025a-11e7-904b-d89d6717b464/media/335f41af-de7a-ee8e-bcb1-97fed41e9033?mode=detail&view=horizontal&q=96721&rows=1&page=1,https://images.memorix.nl/niod/download/default/335f41af-de7a-ee8e-bcb1-97fed41e9033.jpg', photograph,"Amsterdam, Polderweg. May 25, 1943. 500 Jews respond to the German appeal ('Convocation') and report to leave for camp Westerbork. They wait for hours for the special train that will transport them from Muiderpoort Station to Westerbork. Of the 7,000 Jews who had to report to the Polderweg that day for deportation to Westerbork, only 500 appeared that day, much to the irritation of the Germans. Bart de Kok / Archive Storm SS.
.","Muiderpoort Station, Amsterdam ",4.930700,52.360012,30+,unknown,30+,0,"https://fcit.usf.edu/holocaust/gallery2/45127.htm

https://www.oorlogsbronnen.nl/artikel/nsb-fotografen-leggen-jodenvervolging-vast"
96731,https://beeldbankwo2.nl/nl/beelden/detail/4da6806e-025a-11e7-904b-d89d6717b464/media/3fd7440b-8a5d-9d48-b2b8-99bae54748a4?mode=detail&view=horizontal&q=96731&rows=1&page=1,https://images.memorix.nl/niod/download/default/3fd7440b-8a5d-9d48-b2b8-99bae54748a4.jpg', photograph,"Amsterdam, Polderweg. May 25, 1943. 500 Jews respond to the German appeal ('Convocation') and report to leave for camp Westerbork. They wait for hours for the special train that will transport them from Muiderpoort Station to Westerbork. Of the 7,000 Jews who had to report to the Polderweg that day for deportation to Westerbork, only 500 appeared that day, much to the irritation of the Germans. Bart de Kok / Archive Storm SS.
.","Polderweg, Amsterdam ",4.930700,52.360012,30+,unknown,30+,0,
96743,https://beeldbankwo2.nl/nl/beelden/detail/4dab599a-025a-11e7-904b-d89d6717b464/media/82063fc2-3386-9aa6-00a4-175f549fa17a?mode=detail&view=horizontal&q=96743&rows=1&page=1,https://images.memorix.nl/niod/download/default/82063fc2-3386-9aa6-00a4-175f549fa17a.jpg',portrait,"Amsterdam, Polderweg. May 25, 1943. 500 Jews respond to the German appeal ('Convocation') and report to leave for camp Westerbork. They wait for hours for the special train that will transport them from Muiderpoort Station to Westerbork. Of the 7,000 Jews who had to report to the Polderweg that day for deportation to Westerbork, only 500 appeared that day, much to the irritation of the Germans. Bart de Kok / Archive Storm SS.
.","Polderweg, Amsterdam ",4.930700,52.360012,4,0,4,0,
96875,https://beeldbankwo2.nl/nl/beelden/detail/4de39d0a-025a-11e7-904b-d89d6717b464/media/948ea633-11e1-c349-1979-4edc5fdc79af?mode=detail&view=horizontal&q=96875&rows=1&page=1,https://images.memorix.nl/niod/download/default/948ea633-11e1-c349-1979-4edc5fdc79af.jpg',portrait,portrait of Jewish students.,s-Hertogenbosch ,5.311968,51.701721,30+,30+,~13,0,
96977,https://beeldbankwo2.nl/nl/beelden/detail/4e149810-025a-11e7-904b-d89d6717b464/media/be65e0c0-4093-1686-feb9-20ba1a1affed?mode=detail&view=horizontal&q=96977&rows=1&page=1,https://images.memorix.nl/niod/download/default/be65e0c0-4093-1686-feb9-20ba1a1affed.jpg',photograph,Jewish children in a school courtyard.,Utrecht ,5.104480,52.092876,20,0,0,0,
146494,https://beeldbankwo2.nl/nl/beelden/detail/9e83e53a-025a-11e7-904b-d89d6717b464/media/c70a0e48-ffca-708b-a928-4f93ecfe0598?mode=detail&view=horizontal&q=146494&rows=1&page=1,https://images.memorix.nl/niod/thumb/mediabank-horizontal/c70a0e48-ffca-708b-a928-4f93ecfe0598.jpg',portrait,Group photo in the labor camp 'de Fledders'. See more in source,"Camp De Fledders, Westervelde",6.450833,53.038056,30,0,30,0,"https://joodsewerkkampen.nl/overzicht-joodse-werkkampen/de-fledders

https://www.oorlogsbronnen.nl/thema/Kamp%20De%20Fledders

https://www.4en5mei.nl/oorlogsmonumenten/zoeken/3001/westervelde-monument-kamp-de-fledders"
96720,https://beeldbankwo2.nl/nl/beelden/detail/4da20ec6-025a-11e7-904b-d89d6717b464/media/c6c0449e-c57b-e3f4-947f-ed40f1b644a0?mode=detail&view=horizontal&q=96720&rows=1&page=1,https://images.memorix.nl/niod/download/default/c6c0449e-c57b-e3f4-947f-ed40f1b644a0.jpg',portrait,"Amsterdam, Polderweg. May 25, 1943. 500 Jews respond to the German appeal ('Convocation') and report to leave for camp Westerbork. They wait for hours for the special train that will transport them from Muiderpoort Station (visible in the background) to Westerbork. Of the 7,000 Jews who had to report to the Polderweg that day for deportation to Westerbork, only 500 appeared that day, much to the irritation of the Germans. (Original caption: 'man left Nathaan Italiaander')
.","Polderweg, Amsterdam",4.930700,52.360012,2,0,2,1,
96724,https://beeldbankwo2.nl/nl/beelden/detail/4da3aa24-025a-11e7-904b-d89d6717b464/media/96f9fdd2-0e2c-1c3e-c50e-8a9f87661b67?mode=detail&view=horizontal&q=96724&rows=1&page=1,https://images.memorix.nl/niod/download/default/96f9fdd2-0e2c-1c3e-c50e-8a9f87661b67.jpg',photograph,"Amsterdam, Polderweg. May 25, 1943. 500 Jews respond to the German appeal ('Convocation') and report to leave for camp Westerbork. They wait for hours for the special train that will transport them from Muiderpoort Station to Westerbork. Of the 7000 Jews who had to report to the Polderweg that day for deportation to Westerbork, only 500 appeared that day, much to the irritation of the Germans. Completely behind the water barrel was an employee of the Jewish Council.","Polderweg, Amsterdam ",4.930700,52.360012,30+,0,30+,0,
96788,https://beeldbankwo2.nl/nl/beelden/detail/4dbf7664-025a-11e7-904b-d89d6717b464/media/360d8faa-de23-e983-e7da-15b1f44c31e8?mode=detail&view=horizontal&q=96788&rows=1&page=1,https://images.memorix.nl/niod/download/default/360d8faa-de23-e983-e7da-15b1f44c31e8.jpg',photograph,"Amsterdam, Polderweg. May 25, 1943. 500 Jews respond to the German appeal ('Convocation') and report to leave for camp Westerbork. They wait for hours for the special train that will transport them from Muiderpoort Station to Westerbork. Of the 7,000 Jews who had to report to the Polderweg that day for deportation to Westerbork, only 500 appeared that day, much to the irritation of the Germans.","Polderweg, Amsterdam ",4.930700,52.360012,15,1,14,0,
161072,https://beeldbankwo2.nl/nl/beelden/detail/b6932258-025a-11e7-904b-d89d6717b464/media/b00c02ff-e60c-f9c8-5f5f-41d356612dc9?mode=detail&view=horizontal&q=161072&rows=1&page=1,https://images.memorix.nl/niod/download/default/b00c02ff-e60c-f9c8-5f5f-41d356612dc9.jpg',portrait,"Scroll sawing boy in Westerbork, 1943. Manufactured by Rudolf Werner Breslauer. 
",Camp Westerbork Hooghalen,6.607222,52.9175,1,1,0,0,"https://www.omnia.ie/index.php?navigation_function=3&europeana_query=Rudolf+%3Cvon+Tu%CC%88bingen%3E

https://kampwesterbork.nl/en/

https://encyclopedia.ushmm.org/content/en/oral-history/william-bill-lowenberg-describes-conditions-in-the-westerbork-camp-in-the-netherlands"
161388,https://beeldbankwo2.nl/nl/beelden/detail/b7130072-025a-11e7-904b-d89d6717b464/media/8c8601f7-a3ed-bad3-841c-a4075f510e95?mode=detail&view=horizontal&q=161388&rows=1&page=1,https://images.memorix.nl/niod/download/default/8c8601f7-a3ed-bad3-841c-a4075f510e95.jpg',portrait,"Israel Dormits (1924-1982) and others in the Ybenheer labor camp near Fochteloo, circa 1942. Veenweg, Fochteloo. ","Camp Ybenheer, Fochteloo",6.340020,52.984732,24,0,24,1,"https://www.tracesofwar.com/sights/419/Memorial-Labourcamp-Ybenheer.htm

https://data.jck.nl/page/aggregation/jhm-foto/F000540"
97016,https://beeldbankwo2.nl/nl/beelden/detail/4e283b04-025a-11e7-904b-d89d6717b464/media/e596f353-d319-3451-c1d2-b23c5132487d?mode=detail&view=horizontal&q=97016&rows=1&page=1,https://images.memorix.nl/niod/download/default/e596f353-d319-3451-c1d2-b23c5132487d.jpg', photograph,"Waterlooplein with the Moses and Aaron Church in the background. At the beginning of 1941, officials of the municipality of Amsterdam, on behalf of the occupying authorities, had meticulously indicated how many Jews lived on each street, the boundaries of the Jewish quarter were established. Soon signs appeared in the district with the inscription: 'Joodsche Straat', 'Joodsche Wijk' or 'Joodsche Gracht'. Also visible: sign 'Für Wehrmacht Verboten'. Manufacturer:GH Kruger
","Waterlooplein, Amsterdam ",4.902835,52.367855,5,0,5,0,
96981,https://beeldbankwo2.nl/nl/beelden/detail/4e166d8e-025a-11e7-904b-d89d6717b464/media/c115701d-69e9-2ead-5fa1-348531974fe3?mode=detail&view=horizontal&q=96981&rows=1&page=1,https://images.memorix.nl/niod/download/default/c115701d-69e9-2ead-5fa1-348531974fe3.jpg',portrait,Jewish school teachers fltr : dr. A. Nathaus - Mathematics and Physics juffr. F. de Jong - Dutch hr. John Polak - French Ms. Bag - Geography hr. Kolthof - Hand drawing dr. A. Vega - rector dr. van Gelder - Chemistry,Utrecht ,5.104480,52.092876,7,0,7,7,https://joodsbw.nl/cgi/b/bib/bib-idx?c=jbw;cc=jbw;lang=nl;q1=Onderwijzer%20middelbare%20school;rgn1=beroep;type=boolean;view=reslist;sort=naam;fmt=long;page=reslist;size=1;start=91
